COUNTRY,avg_gdp_growth,gdp_volatility,avg_unemployment
"Taiwan Province of China",3.741667,5.60,0.724333
Vietnam,5.430000,5.99,0.491667
Malaysia,3.340000,14.49,0.747667
"Korea, Republic of",1.853333,5.31,0.634333
Mongolia,3.358333,11.98,1.223333
"Macao Special Administrative Region, People's Republic of China",6.008333,129.40,0.511000
Cambodia,3.410000,9.58,0.000000
Philippines,3.403333,17.10,1.187333
Vanuatu,0.558333,10.18,0.000000
"Brunei Darussalam",0.815000,5.68,1.139667
Tuvalu,-0.798333,15.78,0.000000
Kiribati,3.900000,9.95,0.000000
Maldives,5.231667,70.42,0.000000
Singapore,3.083333,13.57,0.457333
Nepal,3.010000,8.00,0.000000
"Palau, Republic of",-0.110000,23.92,0.000000
"Solomon Islands",1.580000,6.09,0.000000
Australia,2.083333,7.37,0.909000
Indonesia,3.646667,7.38,1.155000
"Papua New Guinea",2.391667,8.88,0.000000
"Hong Kong Special Administrative Region, People's Republic of China",0.731667,12.99,0.821667
"Micronesia, Federated States of",0.066667,6.01,0.000000
"Fiji, Republic of",2.066667,34.90,1.578333
Samoa,2.763333,20.30,0.000000
Bangladesh,5.208333,3.65,0.000000
"China, People's Republic of",4.865000,6.22,1.058667
Thailand,0.778333,8.68,0.263333
Bhutan,2.526667,10.08,0.686786
"Sri Lanka",-1.016000,12.36,1.024000
"New Zealand",1.556667,7.00,0.848000
"Lao People's Democratic Republic",2.555000,4.73,0.000000
Tonga,1.116667,5.03,0.000000
"Timor-Leste, Democratic Republic of",1.466667,12.59,0.000000
India,5.641667,15.47,1.204667
Japan,0.320000,6.87,0.531000
Myanmar,-3.301667,16.02,0.000000
"Marshall Islands, Republic of the",-0.190000,6.99,0.000000
