COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
"Taiwan Province of China","Unemployment rate",Annual,2025,3.39,Units
"Taiwan Province of China","All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,1.73,Units
Vietnam,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,3.40,Units
"Korea, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,1.99,Units
Mongolia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,8.27,Units
"Macao Special Administrative Region, People's Republic of China","Unemployment rate",Annual,2025,1.70,Units
Cambodia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.77,Units
"Korea, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,0.90,Units
"Brunei Darussalam","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,1.80,Units
Kiribati,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,7.79,Units
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,2.23,Units
"Palau, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.49,Units
"Solomon Islands","All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,3.44,Units
Vietnam,"Unemployment rate",Annual,2025,2.25,Units
Philippines,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,5.44,Units
"Papua New Guinea","All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,4.79,Units
Samoa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,1.83,Units
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,10.03,Units
Vanuatu,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,1.67,Units
Singapore,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,0.93,Units
Bhutan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,2.42,Units
"Fiji, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,3.19,Units
"Papua New Guinea","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.74,Units
Malaysia,"Unemployment rate",Annual,2025,3.00,Units
Mongolia,"Unemployment rate",Annual,2025,5.00,Units
