COUNTRY,avg_current_account_balance
Nepal,6.600000
"Micronesia, Federated States of",-0.890000
Malaysia,1.520000
"Brunei Darussalam",16.430000
Maldives,-12.480000
Thailand,1.660000
"Fiji, Republic of",-7.500000
Samoa,4.500000
Vanuatu,-11.610000
"New Zealand",-4.710000
Indonesia,-1.050000
Cambodia,-2.480000
"Solomon Islands",-4.640000
Tonga,-5.200000
"Palau, Republic of",-15.010000
"China, People's Republic of",3.300000
Australia,-1.850000
Bhutan,-16.800000
India,-1.000000
"Lao People's Democratic Republic",5.330000
Tuvalu,15.050000
"Taiwan Province of China",13.830000
"Korea, Republic of",4.800000
"Hong Kong Special Administrative Region, People's Republic of China",12.540000
"Timor-Leste, Democratic Republic of",-31.070000
Bangladesh,0.030000
Kiribati,-10.480000
Philippines,-3.810000
"Marshall Islands, Republic of the",10.290000
Mongolia,-14.350000
"Papua New Guinea",10.770000
"Macao Special Administrative Region, People's Republic of China",35.510000
Japan,3.900000
Myanmar,-2.340000
Singapore,17.400000
Vietnam,4.050000
