COUNTRY,avg_gdp_growth,gdp_growth_range
Cambodia,3.410000,9.58
"Korea, Republic of",1.853333,5.31
"Brunei Darussalam",0.815000,5.68
Singapore,3.083333,13.57
"Palau, Republic of",-0.110000,23.92
Philippines,3.403333,17.10
Vanuatu,0.558333,10.18
"Fiji, Republic of",2.066667,34.90
"Papua New Guinea",2.391667,8.88
"Sri Lanka",-1.016000,12.36
Vietnam,5.430000,5.99
"Hong Kong Special Administrative Region, People's Republic of China",0.731667,12.99
Indonesia,3.646667,7.38
Tuvalu,-0.798333,15.78
Bhutan,2.526667,10.08
"Micronesia, Federated States of",0.066667,6.01
India,5.641667,15.47
"Solomon Islands",1.580000,6.09
Myanmar,-3.301667,16.02
"Macao Special Administrative Region, People's Republic of China",6.008333,129.40
"Lao People's Democratic Republic",2.555000,4.73
Samoa,2.763333,20.30
Thailand,0.778333,8.68
Kiribati,3.900000,9.95
Malaysia,3.340000,14.49
Japan,0.320000,6.87
"Timor-Leste, Democratic Republic of",1.466667,12.59
Bangladesh,5.208333,3.65
Tonga,1.116667,5.03
Maldives,5.231667,70.42
Mongolia,3.358333,11.98
Australia,2.083333,7.37
"Taiwan Province of China",3.741667,5.60
"New Zealand",1.556667,7.00
"China, People's Republic of",4.865000,6.22
Nepal,3.010000,8.00
"Marshall Islands, Republic of the",-0.190000,6.99
