COUNTRY,avg_gdp_growth,avg_inflation
"Taiwan Province of China",3.741667,1.846667
Vietnam,5.430000,3.081667
Malaysia,3.340000,1.771667
"Korea, Republic of",1.853333,2.673333
Mongolia,3.358333,8.513333
"Macao Special Administrative Region, People's Republic of China",6.008333,0.676667
Cambodia,3.410000,2.636667
Philippines,3.403333,3.823333
Vanuatu,0.558333,4.748333
"Brunei Darussalam",0.815000,1.286667
Tuvalu,-0.798333,5.123333
Kiribati,3.900000,4.913333
Maldives,5.231667,1.525000
Singapore,3.083333,2.738333
Nepal,3.010000,5.551667
"Palau, Republic of",-0.110000,5.210000
"Solomon Islands",1.580000,3.545000
Australia,2.083333,3.623333
Indonesia,3.646667,2.596667
"Papua New Guinea",2.391667,3.713333
"Hong Kong Special Administrative Region, People's Republic of China",0.731667,1.546667
"Micronesia, Federated States of",0.066667,3.913333
"Fiji, Republic of",2.066667,1.471667
Samoa,2.763333,4.103333
Bangladesh,5.208333,7.690000
"China, People's Republic of",4.865000,0.976667
Thailand,0.778333,1.373333
Bhutan,2.526667,4.738333
"Sri Lanka",-1.016000,14.868000
"New Zealand",1.556667,4.035000
"Lao People's Democratic Republic",2.555000,15.668333
Tonga,1.116667,5.145000
"Timor-Leste, Democratic Republic of",1.466667,3.773333
India,5.641667,5.188333
Japan,0.320000,1.923333
Myanmar,-3.301667,20.475000
"Marshall Islands, Republic of the",-0.190000,3.696667
