COUNTRY,avg_gdp_growth,avg_inflation
"Taiwan Province of China",3.670000,1.730000
Vietnam,6.460000,3.400000
Malaysia,4.500000,1.590000
"Korea, Republic of",0.900000,1.990000
Mongolia,5.500000,8.270000
"Macao Special Administrative Region, People's Republic of China",2.590000,0.500000
Cambodia,4.770000,1.630000
Philippines,5.440000,1.610000
Vanuatu,1.670000,1.740000
"Brunei Darussalam",1.800000,0.400000
Tuvalu,3.020000,1.960000
Kiribati,3.900000,7.790000
Maldives,4.790000,3.870000
Singapore,2.230000,0.930000
Nepal,4.310000,4.060000
"Palau, Republic of",4.490000,1.830000
"Solomon Islands",2.710000,3.440000
Australia,1.810000,2.580000
Indonesia,4.860000,1.840000
"Papua New Guinea",4.740000,4.790000
"Hong Kong Special Administrative Region, People's Republic of China",2.440000,1.750000
"Micronesia, Federated States of",0.990000,4.080000
"Fiji, Republic of",3.190000,0.100000
Samoa,2.710000,1.830000
Bangladesh,3.760000,10.030000
"China, People's Republic of",4.800000,0.010000
Thailand,2.000000,0.150000
Bhutan,6.790000,2.420000
"New Zealand",0.830000,2.740000
"Lao People's Democratic Republic",3.490000,7.840000
Tonga,2.720000,2.940000
"Timor-Leste, Democratic Republic of",3.900000,0.890000
India,6.650000,2.820000
Japan,1.080000,3.290000
Myanmar,-2.680000,31.000000
"Marshall Islands, Republic of the",2.530000,5.180000
