COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
Nepal,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-1.01,Units
Nepal,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-7.70,Units
Nepal,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-12.56,Units
Nepal,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-0.88,Units
Nepal,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,3.87,Units
Nepal,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,6.60,Units
"Micronesia, Federated States of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-5.80,Units
"Micronesia, Federated States of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,2.26,Units
"Micronesia, Federated States of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,8.92,Units
"Micronesia, Federated States of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,3.87,Units
"Micronesia, Federated States of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,1.08,Units
"Micronesia, Federated States of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-0.89,Units
Malaysia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,4.17,Units
Malaysia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,3.89,Units
Malaysia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,3.19,Units
Malaysia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,1.10,Units
Malaysia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,1.43,Units
Malaysia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,1.52,Units
"Brunei Darussalam","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,4.28,Units
"Brunei Darussalam","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,11.14,Units
"Brunei Darussalam","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,19.52,Units
"Brunei Darussalam","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,12.88,Units
"Brunei Darussalam","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,14.42,Units
"Brunei Darussalam","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,16.43,Units
Maldives,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-35.07,Units
Maldives,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-8.65,Units
Maldives,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-16.26,Units
Maldives,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-21.17,Units
Maldives,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-17.82,Units
Maldives,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-12.48,Units
Thailand,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,4.18,Units
Thailand,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-2.12,Units
Thailand,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-3.46,Units
Thailand,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,1.40,Units
Thailand,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,2.54,Units
Thailand,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,1.66,Units
"Fiji, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-11.97,Units
"Fiji, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-6.49,Units
"Fiji, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-15.35,Units
"Fiji, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-6.62,Units
"Fiji, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-7.81,Units
"Fiji, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-7.50,Units
Samoa,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,0.95,Units
Samoa,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-14.55,Units
Samoa,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-10.58,Units
Samoa,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-2.97,Units
Samoa,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,4.38,Units
Samoa,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,4.50,Units
Vanuatu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-6.36,Units
Vanuatu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-11.70,Units
Vanuatu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-17.60,Units
Vanuatu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-6.64,Units
Vanuatu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-15.43,Units
Vanuatu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-11.61,Units
"New Zealand","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-1.07,Units
"New Zealand","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-6.03,Units
"New Zealand","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-9.24,Units
"New Zealand","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-6.93,Units
"New Zealand","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-6.13,Units
"New Zealand","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-4.71,Units
