COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
Nepal,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,6.60,Units
"Micronesia, Federated States of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-0.89,Units
Malaysia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,1.52,Units
"Brunei Darussalam","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,16.43,Units
Maldives,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-12.48,Units
Thailand,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,1.66,Units
"Fiji, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-7.50,Units
Samoa,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,4.50,Units
Vanuatu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-11.61,Units
"New Zealand","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-4.71,Units
Indonesia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-1.05,Units
Cambodia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-2.48,Units
"Solomon Islands","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-4.64,Units
Tonga,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-5.20,Units
"Palau, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-15.01,Units
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,3.30,Units
Australia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-1.85,Units
Bhutan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-16.80,Units
India,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-1.00,Units
"Lao People's Democratic Republic","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,5.33,Units
Tuvalu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,15.05,Units
"Taiwan Province of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,13.83,Units
"Korea, Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,4.80,Units
"Hong Kong Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,12.54,Units
"Timor-Leste, Democratic Republic of","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-31.07,Units
Bangladesh,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,0.03,Units
Kiribati,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-10.48,Units
Philippines,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-3.81,Units
"Marshall Islands, Republic of the","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,10.29,Units
Mongolia,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-14.35,Units
"Papua New Guinea","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,10.77,Units
"Macao Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,35.51,Units
Japan,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,3.90,Units
Myanmar,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-2.34,
Singapore,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,17.40,Units
Vietnam,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,4.05,Units
