COUNTRY,avg_inflation,avg_unemployment
"Macao Special Administrative Region, People's Republic of China",0.676667,2.555000
"China, People's Republic of",0.976667,5.293333
"Brunei Darussalam",1.286667,5.698333
Thailand,1.373333,1.316667
"Fiji, Republic of",1.471667,7.891667
Maldives,1.525000,0.000000
"Hong Kong Special Administrative Region, People's Republic of China",1.546667,4.108333
Malaysia,1.771667,3.738333
"Taiwan Province of China",1.846667,3.621667
Japan,1.923333,2.655000
Indonesia,2.596667,5.775000
Cambodia,2.636667,0.000000
"Korea, Republic of",2.673333,3.171667
Singapore,2.738333,2.286667
Vietnam,3.081667,2.458333
"Solomon Islands",3.545000,0.000000
Australia,3.623333,4.545000
"Marshall Islands, Republic of the",3.696667,0.000000
"Papua New Guinea",3.713333,0.000000
"Timor-Leste, Democratic Republic of",3.773333,0.000000
Philippines,3.823333,5.936667
"Micronesia, Federated States of",3.913333,0.000000
"New Zealand",4.035000,4.240000
Samoa,4.103333,0.000000
Bhutan,4.738333,4.807500
Vanuatu,4.748333,0.000000
Kiribati,4.913333,0.000000
Tuvalu,5.123333,0.000000
Tonga,5.145000,0.000000
India,5.188333,6.023333
"Palau, Republic of",5.210000,0.000000
Nepal,5.551667,0.000000
Bangladesh,7.690000,0.000000
Mongolia,8.513333,6.116667
"Sri Lanka",14.868000,5.120000
"Lao People's Democratic Republic",15.668333,0.000000
Myanmar,20.475000,0.000000
