COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
Cambodia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.77,Units
"Korea, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,0.90,Units
"Brunei Darussalam","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,1.80,Units
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,2.23,Units
"Palau, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.49,Units
Philippines,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,5.44,Units
Vanuatu,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,1.67,Units
"Fiji, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,3.19,Units
"Papua New Guinea","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.74,Units
Vietnam,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,6.46,Units
"Hong Kong Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,2.44,Units
Indonesia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.86,Units
Tuvalu,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,3.02,Units
Bhutan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,6.79,Units
"Micronesia, Federated States of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,0.99,Units
India,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,6.65,Units
"Solomon Islands","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,2.71,Units
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,-2.68,Units
"Macao Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,2.59,Units
"Lao People's Democratic Republic","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,3.49,Units
Samoa,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,2.71,Units
Thailand,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,2.00,Units
Kiribati,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,3.90,Units
Malaysia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.50,Units
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,1.08,Units
"Timor-Leste, Democratic Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,3.90,Units
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,3.76,Units
Tonga,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,2.72,Units
Maldives,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.79,Units
Mongolia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,5.50,Units
Australia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,1.81,Units
"Taiwan Province of China","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,3.67,Units
"New Zealand","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,0.83,Units
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.80,Units
Nepal,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.31,Units
"Marshall Islands, Republic of the","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,2.53,
