COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
Cambodia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-3.56,Units
Cambodia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,3.09,Units
Cambodia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,5.13,Units
Cambodia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,5.01,Units
Cambodia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,6.02,Units
Cambodia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.77,Units
"Korea, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-0.70,Units
"Korea, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,4.61,Units
"Korea, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,2.73,Units
"Korea, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,1.58,Units
"Korea, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,2.00,Units
"Korea, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,0.90,Units
"Brunei Darussalam","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,1.13,Units
"Brunei Darussalam","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,-1.59,Units
"Brunei Darussalam","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,-1.63,Units
"Brunei Darussalam","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,1.13,Units
"Brunei Darussalam","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,4.05,Units
"Brunei Darussalam","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,1.80,Units
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-3.81,Units
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,9.76,Units
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,4.11,Units
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,1.82,Units
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,4.39,Units
Singapore,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,2.23,Units
"Palau, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-6.01,Units
"Palau, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,-11.91,Units
"Palau, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,-0.46,Units
"Palau, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,1.22,Units
"Palau, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,12.01,Units
"Palau, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.49,Units
Philippines,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-9.52,Units
Philippines,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,5.71,Units
Philippines,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,7.58,Units
Philippines,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,5.52,Units
Philippines,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,5.69,Units
Philippines,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,5.44,Units
Vanuatu,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-4.99,Units
Vanuatu,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,-1.55,Units
Vanuatu,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,5.19,Units
Vanuatu,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,2.09,Units
Vanuatu,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,0.94,Units
Vanuatu,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,1.67,Units
"Fiji, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-17.16,Units
"Fiji, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,-4.36,Units
"Fiji, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,17.74,Units
"Fiji, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,9.45,Units
"Fiji, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,3.54,Units
