COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
"Taiwan Province of China","Unemployment rate",Annual,2020,3.85,Units
"Taiwan Province of China","Unemployment rate",Annual,2021,3.95,Units
"Taiwan Province of China","Unemployment rate",Annual,2022,3.67,Units
"Taiwan Province of China","Unemployment rate",Annual,2023,3.48,Units
"Taiwan Province of China","Unemployment rate",Annual,2024,3.39,Units
"Taiwan Province of China","Unemployment rate",Annual,2025,3.39,Units
"Taiwan Province of China","All Items, Consumer price index (CPI), Period average, percent change",Annual,2020,-0.24,Units
"Taiwan Province of China","All Items, Consumer price index (CPI), Period average, percent change",Annual,2021,1.97,Units
"Taiwan Province of China","All Items, Consumer price index (CPI), Period average, percent change",Annual,2022,2.95,Units
"Taiwan Province of China","All Items, Consumer price index (CPI), Period average, percent change",Annual,2023,2.49,Units
"Taiwan Province of China","All Items, Consumer price index (CPI), Period average, percent change",Annual,2024,2.18,Units
"Taiwan Province of China","All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,1.73,Units
Vietnam,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2020,3.22,Units
Vietnam,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2021,1.84,Units
Vietnam,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2022,3.16,Units
Vietnam,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2023,3.25,Units
Vietnam,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2024,3.62,Units
Vietnam,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,3.40,Units
Malaysia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2020,-4.90,Units
Malaysia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2021,-6.03,Units
Malaysia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2022,-4.56,Units
Malaysia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2023,-3.97,Units
Malaysia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2024,-3.95,Units
Malaysia,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2025,-3.61,Units
"Korea, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,2020,0.54,Units
"Korea, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,2021,2.50,Units
"Korea, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,2022,5.09,Units
"Korea, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,2023,3.60,Units
"Korea, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,2024,2.32,Units
"Korea, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,1.99,Units
Mongolia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2020,3.74,Units
Mongolia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2021,7.37,Units
Mongolia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2022,15.14,Units
Mongolia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2023,10.35,Units
Mongolia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2024,6.21,Units
Mongolia,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,8.27,Units
"Macao Special Administrative Region, People's Republic of China","Unemployment rate",Annual,2020,2.55,Units
"Macao Special Administrative Region, People's Republic of China","Unemployment rate",Annual,2021,2.95,Units
"Macao Special Administrative Region, People's Republic of China","Unemployment rate",Annual,2022,3.68,Units
"Macao Special Administrative Region, People's Republic of China","Unemployment rate",Annual,2023,2.65,Units
"Macao Special Administrative Region, People's Republic of China","Unemployment rate",Annual,2024,1.80,Units
"Macao Special Administrative Region, People's Republic of China","Unemployment rate",Annual,2025,1.70,Units
Cambodia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-3.56,Units
Cambodia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,3.09,Units
Cambodia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,5.13,Units
Cambodia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,5.01,Units
Cambodia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,6.02,Units
Cambodia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.77,Units
Philippines,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2020,-5.55,Units
Philippines,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2021,-6.23,Units
Philippines,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2022,-5.48,Units
Philippines,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2023,-4.38,Units
Philippines,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2024,-3.78,Units
Philippines,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2025,-3.57,Units
"Korea, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-0.70,Units
"Korea, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,4.61,Units
"Korea, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,2.73,Units
"Korea, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,1.58,Units
"Korea, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,2.00,Units
"Korea, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,0.90,Units
Vanuatu,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2020,-1.95,Units
Vanuatu,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2021,2.38,Units
